수집시간,요일,도서관명,열람실명,전체좌석,사용좌석,잔여좌석
2026-04-05 12:30:00,Sunday,논현도서관,노트북전용석,8,3,5
2026-04-05 12:30:00,Sunday,논현도서관,복도열람석,4,0,4
2026-04-05 12:30:00,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 12:30:00,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 12:30:00,Sunday,대치도서관,노트북석,12,10,2
2026-04-05 12:30:00,Sunday,대치도서관,정보자료실,2,0,2
2026-04-05 12:30:00,Sunday,대치도서관,집중열람실,78,66,12
2026-04-05 12:30:00,Sunday,도곡정보문화도서관,5층 제1열람실,108,52,56
2026-04-05 12:30:00,Sunday,도곡정보문화도서관,6층 제2열람실,136,55,81
2026-04-05 12:30:00,Sunday,도곡정보문화도서관,6층 제3열람실,86,38,48
2026-04-05 12:30:00,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 12:30:00,Sunday,못골도서관,1층 노트북석,8,8,0
2026-04-05 12:30:00,Sunday,못골도서관,1.5층 계단 열람석,36,25,11
2026-04-05 12:30:00,Sunday,못골도서관,2층 열람석,30,29,1
2026-04-05 12:30:00,Sunday,역삼2동작은도서관,집중학습실,46,26,20
2026-04-05 12:30:00,Sunday,역삼푸른솔도서관,열람실,70,25,45
2026-04-05 12:30:00,Sunday,역삼푸른솔도서관,노트북실,12,5,7
2026-04-05 13:00:01,Sunday,논현도서관,집중학습실,62,19,43
2026-04-05 13:00:01,Sunday,논현도서관,노트북전용석,8,3,5
2026-04-05 13:00:01,Sunday,논현도서관,복도열람석,4,2,2
2026-04-05 13:00:01,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 13:00:01,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 13:00:01,Sunday,대치도서관,노트북석,12,7,5
2026-04-05 13:00:01,Sunday,대치도서관,정보자료실,2,0,2
2026-04-05 13:00:01,Sunday,대치도서관,집중열람실,78,66,12
2026-04-05 13:00:01,Sunday,도곡정보문화도서관,5층 제1열람실,108,57,51
2026-04-05 13:00:01,Sunday,도곡정보문화도서관,6층 제2열람실,136,56,80
2026-04-05 13:00:01,Sunday,도곡정보문화도서관,6층 제3열람실,86,40,46
2026-04-05 13:00:01,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 13:00:01,Sunday,못골도서관,1층 노트북석,8,8,0
2026-04-05 13:00:01,Sunday,못골도서관,1.5층 계단 열람석,36,29,7
2026-04-05 13:00:01,Sunday,못골도서관,2층 열람석,30,29,1
2026-04-05 13:00:01,Sunday,역삼2동작은도서관,집중학습실,46,27,19
2026-04-05 13:00:01,Sunday,역삼푸른솔도서관,열람실,70,28,42
2026-04-05 13:00:01,Sunday,역삼푸른솔도서관,노트북실,12,10,2
2026-04-05 13:30:00,Sunday,논현도서관,집중학습실,62,18,44
2026-04-05 13:30:00,Sunday,논현도서관,노트북전용석,8,3,5
2026-04-05 13:30:00,Sunday,논현도서관,복도열람석,4,2,2
2026-04-05 13:30:00,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 13:30:00,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 13:30:00,Sunday,대치도서관,노트북석,12,7,5
2026-04-05 13:30:00,Sunday,대치도서관,정보자료실,2,0,2
2026-04-05 13:30:00,Sunday,대치도서관,집중열람실,78,73,5
2026-04-05 13:30:00,Sunday,도곡정보문화도서관,5층 제1열람실,108,57,51
2026-04-05 13:30:00,Sunday,도곡정보문화도서관,6층 제2열람실,136,63,73
2026-04-05 13:30:00,Sunday,도곡정보문화도서관,6층 제3열람실,86,47,39
2026-04-05 13:30:00,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 13:30:00,Sunday,못골도서관,1층 노트북석,8,8,0
2026-04-05 13:30:00,Sunday,못골도서관,1.5층 계단 열람석,36,35,1
2026-04-05 13:30:00,Sunday,못골도서관,2층 열람석,30,30,0
2026-04-05 13:30:00,Sunday,역삼2동작은도서관,집중학습실,46,30,16
2026-04-05 13:30:00,Sunday,역삼푸른솔도서관,열람실,70,28,42
2026-04-05 13:30:00,Sunday,역삼푸른솔도서관,노트북실,12,11,1
2026-04-05 14:00:01,Sunday,논현도서관,집중학습실,62,22,40
2026-04-05 14:00:01,Sunday,논현도서관,노트북전용석,8,4,4
2026-04-05 14:00:01,Sunday,논현도서관,복도열람석,4,2,2
2026-04-05 14:00:01,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 14:00:01,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 14:00:01,Sunday,대치도서관,노트북석,12,9,3
2026-04-05 14:00:01,Sunday,대치도서관,정보자료실,2,0,2
2026-04-05 14:00:01,Sunday,대치도서관,집중열람실,78,72,6
2026-04-05 14:00:01,Sunday,도곡정보문화도서관,5층 제1열람실,108,65,43
2026-04-05 14:00:01,Sunday,도곡정보문화도서관,6층 제2열람실,136,75,61
2026-04-05 14:00:01,Sunday,도곡정보문화도서관,6층 제3열람실,86,54,32
2026-04-05 14:00:01,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 14:00:01,Sunday,못골도서관,1층 노트북석,8,8,0
2026-04-05 14:00:01,Sunday,못골도서관,1.5층 계단 열람석,36,33,3
2026-04-05 14:00:01,Sunday,못골도서관,2층 열람석,30,29,1
2026-04-05 14:00:01,Sunday,역삼2동작은도서관,집중학습실,46,33,13
2026-04-05 14:00:01,Sunday,역삼푸른솔도서관,열람실,70,36,34
2026-04-05 14:00:01,Sunday,역삼푸른솔도서관,노트북실,12,12,0
2026-04-05 14:30:00,Sunday,논현도서관,집중학습실,62,26,36
2026-04-05 14:30:00,Sunday,논현도서관,노트북전용석,8,5,3
2026-04-05 14:30:00,Sunday,논현도서관,복도열람석,4,3,1
