수집시간,요일,도서관명,열람실명,전체좌석,사용좌석,잔여좌석
2026-04-05 10:30:01,Sunday,역삼푸른솔도서관,노트북실,12,4,8
2026-04-05 11:00:00,Sunday,논현도서관,집중학습실,62,11,51
2026-04-05 11:00:00,Sunday,논현도서관,노트북전용석,8,3,5
2026-04-05 11:00:00,Sunday,논현도서관,복도열람석,4,0,4
2026-04-05 11:00:00,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 11:00:00,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 11:00:00,Sunday,대치도서관,노트북석,12,12,0
2026-04-05 11:00:00,Sunday,대치도서관,정보자료실,2,2,0
2026-04-05 11:00:00,Sunday,대치도서관,집중열람실,78,55,23
2026-04-05 11:00:00,Sunday,도곡정보문화도서관,5층 제1열람실,108,36,72
2026-04-05 11:00:00,Sunday,도곡정보문화도서관,6층 제2열람실,136,37,99
2026-04-05 11:00:00,Sunday,도곡정보문화도서관,6층 제3열람실,86,31,55
2026-04-05 11:00:00,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 11:00:00,Sunday,못골도서관,1층 노트북석,8,5,3
2026-04-05 11:00:00,Sunday,못골도서관,1.5층 계단 열람석,36,14,22
2026-04-05 11:00:00,Sunday,못골도서관,2층 열람석,30,20,10
2026-04-05 11:00:00,Sunday,역삼2동작은도서관,집중학습실,46,17,29
2026-04-05 11:00:00,Sunday,역삼푸른솔도서관,열람실,70,13,57
2026-04-05 11:00:00,Sunday,역삼푸른솔도서관,노트북실,12,5,7
2026-04-05 11:30:00,Sunday,논현도서관,집중학습실,62,12,50
2026-04-05 11:30:00,Sunday,논현도서관,노트북전용석,8,4,4
2026-04-05 11:30:00,Sunday,논현도서관,복도열람석,4,0,4
2026-04-05 11:30:00,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 11:30:00,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 11:30:00,Sunday,대치도서관,노트북석,12,12,0
2026-04-05 11:30:00,Sunday,대치도서관,정보자료실,2,1,1
2026-04-05 11:30:00,Sunday,대치도서관,집중열람실,78,66,12
2026-04-05 11:30:00,Sunday,도곡정보문화도서관,5층 제1열람실,108,43,65
2026-04-05 11:30:00,Sunday,도곡정보문화도서관,6층 제2열람실,136,43,93
2026-04-05 11:30:00,Sunday,도곡정보문화도서관,6층 제3열람실,86,35,51
2026-04-05 11:30:00,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 11:30:00,Sunday,못골도서관,1층 노트북석,8,8,0
2026-04-05 11:30:00,Sunday,못골도서관,1.5층 계단 열람석,36,18,18
2026-04-05 11:30:00,Sunday,못골도서관,2층 열람석,30,27,3
2026-04-05 11:30:00,Sunday,역삼2동작은도서관,집중학습실,46,22,24
2026-04-05 11:30:00,Sunday,역삼푸른솔도서관,열람실,70,18,52
2026-04-05 11:30:00,Sunday,역삼푸른솔도서관,노트북실,12,5,7
2026-04-05 12:00:03,Sunday,논현도서관,집중학습실,62,16,46
2026-04-05 12:00:03,Sunday,논현도서관,노트북전용석,8,4,4
2026-04-05 12:00:03,Sunday,논현도서관,복도열람석,4,0,4
2026-04-05 12:00:03,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 12:00:03,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 12:00:03,Sunday,대치도서관,노트북석,12,12,0
2026-04-05 12:00:03,Sunday,대치도서관,정보자료실,2,1,1
2026-04-05 12:00:03,Sunday,대치도서관,집중열람실,78,67,11
2026-04-05 12:00:03,Sunday,도곡정보문화도서관,5층 제1열람실,108,46,62
2026-04-05 12:00:03,Sunday,도곡정보문화도서관,6층 제2열람실,136,48,88
2026-04-05 12:00:03,Sunday,도곡정보문화도서관,6층 제3열람실,86,37,49
2026-04-05 12:00:03,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 12:00:03,Sunday,못골도서관,1층 노트북석,8,8,0
2026-04-05 12:00:03,Sunday,못골도서관,1.5층 계단 열람석,36,23,13
2026-04-05 12:00:03,Sunday,못골도서관,2층 열람석,30,28,2
2026-04-05 12:00:03,Sunday,역삼2동작은도서관,집중학습실,46,25,21
2026-04-05 12:00:03,Sunday,역삼푸른솔도서관,열람실,70,17,53
2026-04-05 12:00:03,Sunday,역삼푸른솔도서관,노트북실,12,5,7
2026-04-05 12:30:00,Sunday,논현도서관,집중학습실,62,19,43
